countyfips,statefips
53069,53
48057,48
51735,51
51095,51
22019,22
22105,22
51179,51
48361,48
25025,25
12053,12
12129,12
12131,12
12127,12
09007,09
51181,51
48391,48
24047,24
13049,13
41007,41
24510,24
48245,48
36111,36
34007,34
51085,51
23023,23
51510,51
12011,12
12099,12
51097,51
06083,06
24015,24
25001,25
51119,51
12086,12
06111,06
06037,06
12017,12
51057,51
51133,51
36103,36
06097,06
34039,34
01097,01
37013,37
23029,23
06073,06
36027,36
45035,45
45015,45
10003,10
51073,51
42101,42
37029,37
22053,22
11001,11
06075,06
12109,12
24005,24
09011,09
51760,51
06041,06
37031,37
25019,25
48007,48
12081,12
37139,37
06055,06
22113,22
22087,22
06053,06
34009,34
51101,51
41011,41
24009,24
53031,53
24019,24
34005,34
25007,25
48273,48
12103,12
06045,06
51550,51
51093,51
12037,12
12101,12
36059,36
24003,24
34023,34
25005,25
06095,06
22099,22
41057,41
06013,06
51087,51
36119,36
09009,09
10005,10
45013,45
41039,41
48469,48
37137,37
12031,12
48489,48
01003,01
51127,51
12085,12
12029,12
53061,53
48167,48
48201,48
25017,25
13039,13
44009,44
34017,34
53029,53
51153,51
53009,53
12033,12
24033,24
48239,48
37073,37
41019,41
23027,23
12087,12
36085,36
51036,51
37187,37
22093,22
51013,51
24035,24
37049,37
36079,36
51700,51
22075,22
12035,12
41041,41
23031,23
34025,34
06023,06
24041,24
44007,44
12071,12
12005,12
51670,51
24045,24
37091,37
53073,53
34029,34
22007,22
06015,06
51740,51
12107,12
12065,12
13179,13
37177,37
37143,37
12075,12
28045,28
37095,37
06085,06
45019,45
37015,37
24039,24
22051,22
22103,22
22023,22
24025,24
51001,51
37129,37
24037,24
33015,33
53033,53
45029,45
53049,53
37141,37
09001,09
24029,24
45049,45
13029,13
12111,12
51710,51
12091,12
06001,06
34015,34
48355,48
22045,22
37133,37
28047,28
34011,34
12021,12
28059,28
48071,48
12115,12
45051,45
48039,48
53055,53
22109,22
23015,23
51830,51
34013,34
53027,53
48321,48
51193,51
36081,36
12123,12
13051,13
23005,23
42045,42
12019,12
34003,34
36047,36
36061,36
24017,24
22095,22
51630,51
06059,06
37053,37
51115,51
51099,51
48261,48
12089,12
22101,22
22057,22
12113,12
37103,37
34033,34
12009,12
45053,45
23009,23
23013,23
22063,22
25009,25
37041,37
36087,36
51800,51
41015,41
24011,24
51059,51
10001,10
06081,06
53035,53
44001,44
44005,44
12061,12
53045,53
51199,51
22071,22
53057,53
37019,37
51131,51
51177,51
33017,33
06087,06
13191,13
48409,48
22005,22
51041,51
13127,13
51149,51
53053,53
25021,25
45043,45
51650,51
22089,22
12045,12
51033,51
53067,53
48061,48
36071,36
25023,25
36005,36
37055,37
34001,34
51570,51
06079,06
51810,51
51103,51
51159,51
12057,12
12015,12
44003,44
51610,51
51600,51
51685,51
51683,51
12077,12
13025,13
13305,13
24027,24
34035,34
37147,37
